,density,init_fire,reborn_tree,Run,Burned Out,Fine,Fire,height,width
0,0.5,10,20,0,701,4191,70,100,100
1,0.5,10,20,1,888,4027,115,100,100
2,0.5,10,20,2,761,4173,128,100,100
3,0.5,10,20,3,0,4977,0,100,100
4,0.5,10,20,4,605,4387,82,100,100
5,0.5,10,20,5,391,4532,55,100,100
6,0.5,10,20,6,235,4694,36,100,100
7,0.5,10,20,7,0,4999,0,100,100
8,0.5,10,20,8,460,4437,52,100,100
9,0.5,10,20,9,638,4249,86,100,100
10,0.5,10,20,10,0,4937,0,100,100
11,0.5,10,20,11,0,5087,0,100,100
12,0.5,10,20,12,392,4535,49,100,100
13,0.5,10,20,13,250,4642,46,100,100
14,0.5,10,20,14,0,5042,0,100,100
15,0.5,10,20,15,337,4619,40,100,100
16,0.5,10,20,16,0,4998,0,100,100
17,0.5,10,20,17,632,4233,92,100,100
18,0.5,10,20,18,819,4081,92,100,100
19,0.5,10,20,19,0,5029,0,100,100
20,0.5,10,20,20,382,4562,36,100,100
21,0.5,10,20,21,487,4533,65,100,100
22,0.5,10,20,22,347,4616,48,100,100
23,0.5,10,20,23,0,5039,0,100,100
24,0.5,10,20,24,391,4623,79,100,100
25,0.5,10,20,25,537,4350,75,100,100
26,0.5,10,20,26,171,4707,15,100,100
27,0.5,10,20,27,0,4958,0,100,100
28,0.5,10,20,28,574,4363,76,100,100
29,0.5,10,20,29,448,4518,63,100,100
30,0.5,10,20,30,532,4286,73,100,100
31,0.5,10,20,31,0,4981,0,100,100
32,0.5,10,20,32,594,4295,54,100,100
33,0.5,10,20,33,411,4542,42,100,100
34,0.5,10,20,34,0,5054,0,100,100
35,0.5,10,20,35,0,4908,0,100,100
36,0.5,10,20,36,566,4369,74,100,100
37,0.5,10,20,37,0,5073,0,100,100
38,0.5,10,20,38,0,5007,0,100,100
39,0.5,10,20,39,0,5082,0,100,100
40,0.5,10,20,40,0,4956,0,100,100
41,0.5,10,20,41,939,4027,99,100,100
42,0.5,10,20,42,385,4590,44,100,100
43,0.5,10,20,43,603,4363,82,100,100
44,0.5,10,20,44,559,4333,79,100,100
45,0.5,10,20,45,513,4473,61,100,100
46,0.5,10,20,46,0,4968,0,100,100
47,0.5,10,20,47,639,4263,71,100,100
48,0.5,10,20,48,191,4804,31,100,100
49,0.5,10,20,49,658,4313,87,100,100
50,0.5,10,20,50,0,5054,0,100,100
